PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=2.84 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=2.51 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=2.59 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=2.68 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=2.92 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=2.92 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=2.99 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=2.76 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=2.47 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=2.53 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=2.52 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=2.76 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=3.02 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=2.49 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=2.49 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=2.50 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=2.55 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=2.86 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=2.63 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=2.78 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=2.79 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=2.76 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=2.66 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=2.77 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=2.83 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=2.70 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=2.58 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=2.59 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=2.86 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=2.65 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=2.58 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=2.36 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=2.38 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=2.48 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=2.75 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=2.66 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=2.84 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=2.90 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=2.99 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=2.81 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39059ms
rtt min/avg/max/mdev = 2.360/2.693/3.019/0.172 ms
