PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=2.97 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=3.04 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=3.04 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=3.13 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=3.26 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=3.24 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=3.28 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=3.17 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=3.35 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=3.39 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=3.17 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=3.11 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=3.09 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=3.06 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=3.03 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=2.89 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=3.12 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=3.21 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=3.22 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=3.12 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=3.16 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=3.16 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=3.03 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=3.14 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=3.16 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=3.17 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=3.16 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=3.34 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=3.32 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=3.12 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=3.36 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=2.88 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=3.09 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=3.06 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=3.18 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=3.12 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=3.23 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=3.34 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=3.09 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=3.30 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39050ms
rtt min/avg/max/mdev = 2.884/3.157/3.389/0.119 ms
