PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=3.43 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=3.59 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=3.32 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=3.48 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=3.36 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=3.58 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=3.42 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=3.38 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=3.15 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=3.23 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=3.32 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=3.34 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=3.40 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=3.60 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=3.40 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=3.49 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=3.49 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=3.05 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=3.27 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=3.51 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=3.57 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=3.48 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=3.56 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=3.49 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=3.62 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=3.58 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=3.51 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=3.40 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=3.53 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=3.52 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=3.53 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=3.25 ms
64 bytes from 10.1.0.2: icmp_seq=33 ttl=64 time=3.57 ms
64 bytes from 10.1.0.2: icmp_seq=34 ttl=64 time=3.41 ms
64 bytes from 10.1.0.2: icmp_seq=35 ttl=64 time=3.55 ms
64 bytes from 10.1.0.2: icmp_seq=36 ttl=64 time=3.46 ms
64 bytes from 10.1.0.2: icmp_seq=37 ttl=64 time=3.28 ms
64 bytes from 10.1.0.2: icmp_seq=38 ttl=64 time=3.47 ms
64 bytes from 10.1.0.2: icmp_seq=39 ttl=64 time=3.26 ms
64 bytes from 10.1.0.2: icmp_seq=40 ttl=64 time=3.44 ms

--- 10.1.0.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 39055ms
rtt min/avg/max/mdev = 3.050/3.432/3.617/0.130 ms
